Route_ID,State,Zone_ID,Route_Source,Patrol_Type,Risk_Level,Hotspot_Score,Crime_Count,Patrol_Date,Patrol_Shift,Start_Hour,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Total_Checkpoints,Route_Checkpoints,Distance_KM,Estimated_Duration_Minutes,Assigned_Officers,Vehicle_Type,Route_Status
ROUTE000001,Andaman and Nicobar Islands,Zone_30,AI Predicted,Preventive Patrol,MEDIUM,38.91,87,2027-07-29,Evening,18,11.783883,92.638546,11.756011,92.596418,8,"[{""checkpoint"": 1, ""latitude"": 11.783883, ""longitude"": 92.638546}, {""checkpoint"": 2, ""latitude"": 11.780861, ""longitude"": 92.629489}, {""checkpoint"": 3, ""latitude"": 11.773992, ""longitude"": 92.617213}, {""checkpoint"": 4, ""latitude"": 11.759121, ""longitude"": 92.612089}, {""checkpoint"": 5, ""latitude"": 11.749496, ""longitude"": 92.605694}, {""checkpoint"": 6, ""latitude"": 11.744141, ""longitude"": 92.598298}, {""checkpoint"": 7, ""latitude"": 11.748261, ""longitude"": 92.592585}, {""checkpoint"": 8, ""latitude"": 11.756011, ""longitude"": 92.596418}]",14.42,19,4,Police Motorcycle,In Progress
ROUTE000002,Andaman and Nicobar Islands,Zone_22,AI Predicted,Routine Patrol,MEDIUM,31.07,84,2027-01-10,Morning,6,11.73783,92.660019,11.748658,92.64643,4,"[{""checkpoint"": 1, ""latitude"": 11.73783, ""longitude"": 92.660019}, {""checkpoint"": 2, ""latitude"": 11.742727, ""longitude"": 92.659459}, {""checkpoint"": 3, ""latitude"": 11.749162, ""longitude"": 92.659305}, {""checkpoint"": 4, ""latitude"": 11.748658, ""longitude"": 92.64643}]",11.32,17,3,Police Motorcycle,Completed
ROUTE000003,Andaman and Nicobar Islands,Zone_25,Historical,Routine Patrol,MEDIUM,47.07,95,2026-08-31,Evening,16,11.757303,92.642454,11.757474,92.644781,5,"[{""checkpoint"": 1, ""latitude"": 11.757303, ""longitude"": 92.642454}, {""checkpoint"": 2, ""latitude"": 11.758276, ""longitude"": 92.638871}, {""checkpoint"": 3, ""latitude"": 11.765656, ""longitude"": 92.627965}, {""checkpoint"": 4, ""latitude"": 11.769687, ""longitude"": 92.638041}, {""checkpoint"": 5, ""latitude"": 11.757474, ""longitude"": 92.644781}]",5.56,17,4,Police Car,Cancelled
ROUTE000004,Andaman and Nicobar Islands,Zone_26,AI Predicted,Routine Patrol,MEDIUM,42.1,91,2026-11-17,Evening,12,11.707336,92.701908,11.694682,92.683976,5,"[{""checkpoint"": 1, ""latitude"": 11.707336, ""longitude"": 92.701908}, {""checkpoint"": 2, ""latitude"": 11.697636, ""longitude"": 92.689513}, {""checkpoint"": 3, ""latitude"": 11.70192, ""longitude"": 92.686837}, {""checkpoint"": 4, ""latitude"": 11.699836, ""longitude"": 92.685223}, {""checkpoint"": 5, ""latitude"": 11.694682, ""longitude"": 92.683976}]",5.0,10,4,Police Car,In Progress
ROUTE000005,Andaman and Nicobar Islands,Zone_59,Historical,High-Risk Patrol,HIGH,52.66,99,2027-01-14,Morning,6,11.740088,92.667761,11.749336,92.662108,5,"[{""checkpoint"": 1, ""latitude"": 11.740088, ""longitude"": 92.667761}, {""checkpoint"": 2, ""latitude"": 11.750685, ""longitude"": 92.658113}, {""checkpoint"": 3, ""latitude"": 11.759931, ""longitude"": 92.670786}, {""checkpoint"": 4, ""latitude"": 11.760946, ""longitude"": 92.669555}, {""checkpoint"": 5, ""latitude"": 11.749336, ""longitude"": 92.662108}]",14.42,25,6,Police SUV,In Progress
ROUTE000006,Andaman and Nicobar Islands,Zone_29,Historical,Crime Prevention Patrol,HIGH,50.86,98,2027-02-11,Evening,12,11.751495,92.676728,11.753779,92.669484,7,"[{""checkpoint"": 1, ""latitude"": 11.751495, ""longitude"": 92.676728}, {""checkpoint"": 2, ""latitude"": 11.746666, ""longitude"": 92.663047}, {""checkpoint"": 3, ""latitude"": 11.757619, ""longitude"": 92.672623}, {""checkpoint"": 4, ""latitude"": 11.746195, ""longitude"": 92.674316}, {""checkpoint"": 5, ""latitude"": 11.737308, ""longitude"": 92.677166}, {""checkpoint"": 6, ""latitude"": 11.74001, ""longitude"": 92.669259}, {""checkpoint"": 7, ""latitude"": 11.753779, ""longitude"": 92.669484}]",5.33,12,5,Police Jeep,Completed
ROUTE000007,Andaman and Nicobar Islands,Zone_58,AI Predicted,Preventive Patrol,MEDIUM,32.97,84,2026-10-04,Morning,8,11.730924,92.64998,11.748717,92.693154,8,"[{""checkpoint"": 1, ""latitude"": 11.730924, ""longitude"": 92.64998}, {""checkpoint"": 2, ""latitude"": 11.740922, ""longitude"": 92.662133}, {""checkpoint"": 3, ""latitude"": 11.743975, ""longitude"": 92.672833}, {""checkpoint"": 4, ""latitude"": 11.754666, ""longitude"": 92.681824}, {""checkpoint"": 5, ""latitude"": 11.759464, ""longitude"": 92.694191}, {""checkpoint"": 6, ""latitude"": 11.764713, ""longitude"": 92.680606}, {""checkpoint"": 7, ""latitude"": 11.750499, ""longitude"": 92.680976}, {""checkpoint"": 8, ""latitude"": 11.748717, ""longitude"": 92.693154}]",11.02,22,2,Police Car,In Progress
ROUTE000008,Andaman and Nicobar Islands,Zone_52,AI Predicted,Routine Patrol,MEDIUM,45.13,93,2026-11-30,Evening,16,11.761431,92.674599,11.75022,92.685624,6,"[{""checkpoint"": 1, ""latitude"": 11.761431, ""longitude"": 92.674599}, {""checkpoint"": 2, ""latitude"": 11.756186, ""longitude"": 92.685749}, {""checkpoint"": 3, ""latitude"": 11.754091, ""longitude"": 92.687101}, {""checkpoint"": 4, ""latitude"": 11.763431, ""longitude"": 92.676719}, {""checkpoint"": 5, ""latitude"": 11.757484, ""longitude"": 92.680565}, {""checkpoint"": 6, ""latitude"": 11.75022, ""longitude"": 92.685624}]",5.83,11,2,Police Motorcycle,Completed
ROUTE000009,Andaman and Nicobar Islands,Zone_55,AI Predicted,Crime Prevention Patrol,HIGH,61.83,107,2026-12-24,Morning,6,11.738758,92.634285,11.759221,92.63503,5,"[{""checkpoint"": 1, ""latitude"": 11.738758, ""longitude"": 92.634285}, {""checkpoint"": 2, ""latitude"": 11.739042, ""longitude"": 92.639619}, {""checkpoint"": 3, ""latitude"": 11.750566, ""longitude"": 92.642965}, {""checkpoint"": 4, ""latitude"": 11.765205, ""longitude"": 92.644279}, {""checkpoint"": 5, ""latitude"": 11.759221, ""longitude"": 92.63503}]",13.09,23,4,Police SUV,Completed
ROUTE000010,Andaman and Nicobar Islands,Zone_42,AI Predicted,High-Risk Patrol,HIGH,74.46,115,2027-02-28,Morning,8,11.734148,92.668899,11.736164,92.672534,8,"[{""checkpoint"": 1, ""latitude"": 11.734148, ""longitude"": 92.668899}, {""checkpoint"": 2, ""latitude"": 11.732804, ""longitude"": 92.664672}, {""checkpoint"": 3, ""latitude"": 11.733031, ""longitude"": 92.667096}, {""checkpoint"": 4, ""latitude"": 11.739462, ""longitude"": 92.676527}, {""checkpoint"": 5, ""latitude"": 11.727633, ""longitude"": 92.661731}, {""checkpoint"": 6, ""latitude"": 11.71391, ""longitude"": 92.667844}, {""checkpoint"": 7, ""latitude"": 11.725048, ""longitude"": 92.675134}, {""checkpoint"": 8, ""latitude"": 11.736164, ""longitude"": 92.672534}]",19.43,27,5,Police SUV,Scheduled
ROUTE000011,Andaman and Nicobar Islands,Zone_14,AI Predicted,Crime Prevention Patrol,HIGH,59.61,103,2027-02-20,Evening,18,11.735887,92.668281,11.758759,92.640745,6,"[{""checkpoint"": 1, ""latitude"": 11.735887, ""longitude"": 92.668281}, {""checkpoint"": 2, ""latitude"": 11.747877, ""longitude"": 92.654117}, {""checkpoint"": 3, ""latitude"": 11.761223, ""longitude"": 92.649453}, {""checkpoint"": 4, ""latitude"": 11.773733, ""longitude"": 92.643952}, {""checkpoint"": 5, ""latitude"": 11.771898, ""longitude"": 92.646631}, {""checkpoint"": 6, ""latitude"": 11.758759, ""longitude"": 92.640745}]",10.5,20,4,Police SUV,Cancelled
ROUTE000012,Andaman and Nicobar Islands,Zone_6,Historical,High-Risk Patrol,HIGH,54.27,99,2027-06-20,Night,2,11.732958,92.651176,11.708421,92.662432,5,"[{""checkpoint"": 1, ""latitude"": 11.732958, ""longitude"": 92.651176}, {""checkpoint"": 2, ""latitude"": 11.738919, ""longitude"": 92.648178}, {""checkpoint"": 3, ""latitude"": 11.725642, ""longitude"": 92.661021}, {""checkpoint"": 4, ""latitude"": 11.710794, ""longitude"": 92.66304}, {""checkpoint"": 5, ""latitude"": 11.708421, ""longitude"": 92.662432}]",18.29,27,4,Police SUV,Completed
ROUTE000013,Andaman and Nicobar Islands,Zone_52,Historical,Preventive Patrol,MEDIUM,45.13,93,2027-05-06,Evening,12,11.741247,92.654136,11.745544,92.659854,4,"[{""checkpoint"": 1, ""latitude"": 11.741247, ""longitude"": 92.654136}, {""checkpoint"": 2, ""latitude"": 11.743683, ""longitude"": 92.652436}, {""checkpoint"": 3, ""latitude"": 11.735426, ""longitude"": 92.658353}, {""checkpoint"": 4, ""latitude"": 11.745544, ""longitude"": 92.659854}]",18.39,33,4,Police Car,In Progress
ROUTE000014,Andaman and Nicobar Islands,Zone_58,Historical,Routine Patrol,MEDIUM,32.97,84,2027-04-29,Night,0,11.73784,92.643196,11.742031,92.650043,5,"[{""checkpoint"": 1, ""latitude"": 11.73784, ""longitude"": 92.643196}, {""checkpoint"": 2, ""latitude"": 11.739004, ""longitude"": 92.638629}, {""checkpoint"": 3, ""latitude"": 11.748535, ""longitude"": 92.647284}, {""checkpoint"": 4, ""latitude"": 11.755269, ""longitude"": 92.640817}, {""checkpoint"": 5, ""latitude"": 11.742031, ""longitude"": 92.650043}]",9.19,19,3,Police Car,In Progress
ROUTE000015,Andaman and Nicobar Islands,Zone_21,AI Predicted,High-Risk Patrol,HIGH,52.77,98,2027-03-27,Evening,18,11.743574,92.666761,11.73589,92.648319,5,"[{""checkpoint"": 1, ""latitude"": 11.743574, ""longitude"": 92.666761}, {""checkpoint"": 2, ""latitude"": 11.748366, ""longitude"": 92.675792}, {""checkpoint"": 3, ""latitude"": 11.738672, ""longitude"": 92.667309}, {""checkpoint"": 4, ""latitude"": 11.735805, ""longitude"": 92.660873}, {""checkpoint"": 5, ""latitude"": 11.73589, ""longitude"": 92.648319}]",10.48,15,6,Police Jeep,In Progress
ROUTE000016,Andaman and Nicobar Islands,Zone_59,AI Predicted,Crime Prevention Patrol,HIGH,52.66,99,2026-12-18,Morning,8,11.747495,92.644976,11.732368,92.611663,6,"[{""checkpoint"": 1, ""latitude"": 11.747495, ""longitude"": 92.644976}, {""checkpoint"": 2, ""latitude"": 11.738095, ""longitude"": 92.633793}, {""checkpoint"": 3, ""latitude"": 11.724538, ""longitude"": 92.622761}, {""checkpoint"": 4, ""latitude"": 11.72644, ""longitude"": 92.617377}, {""checkpoint"": 5, ""latitude"": 11.72145, ""longitude"": 92.619782}, {""checkpoint"": 6, ""latitude"": 11.732368, ""longitude"": 92.611663}]",4.83,8,5,Police SUV,Completed
ROUTE000017,Andaman and Nicobar Islands,Zone_13,Historical,Routine Patrol,MEDIUM,30.63,84,2027-07-27,Evening,18,11.73061,92.658675,11.735616,92.671933,6,"[{""checkpoint"": 1, ""latitude"": 11.73061, ""longitude"": 92.658675}, {""checkpoint"": 2, ""latitude"": 11.740993, ""longitude"": 92.65143}, {""checkpoint"": 3, ""latitude"": 11.735761, ""longitude"": 92.657625}, {""checkpoint"": 4, ""latitude"": 11.741622, ""longitude"": 92.659708}, {""checkpoint"": 5, ""latitude"": 11.744361, ""longitude"": 92.669354}, {""checkpoint"": 6, ""latitude"": 11.735616, ""longitude"": 92.671933}]",7.85,17,2,Police Car,Completed
ROUTE000018,Andaman and Nicobar Islands,Zone_42,AI Predicted,Crime Prevention Patrol,HIGH,74.46,115,2027-02-13,Night,0,11.715075,92.673025,11.70733,92.709373,6,"[{""checkpoint"": 1, ""latitude"": 11.715075, ""longitude"": 92.673025}, {""checkpoint"": 2, ""latitude"": 11.715243, ""longitude"": 92.682672}, {""checkpoint"": 3, ""latitude"": 11.730171, ""longitude"": 92.679397}, {""checkpoint"": 4, ""latitude"": 11.730391, ""longitude"": 92.686349}, {""checkpoint"": 5, ""latitude"": 11.721037, ""longitude"": 92.696494}, {""checkpoint"": 6, ""latitude"": 11.70733, ""longitude"": 92.709373}]",23.49,56,4,Police Jeep,Cancelled
ROUTE000019,Andaman and Nicobar Islands,Zone_26,Historical,Routine Patrol,MEDIUM,42.1,91,2027-04-10,Night,22,11.733889,92.692226,11.737324,92.693848,4,"[{""checkpoint"": 1, ""latitude"": 11.733889, ""longitude"": 92.692226}, {""checkpoint"": 2, ""latitude"": 11.738861, ""longitude"": 92.690732}, {""checkpoint"": 3, ""latitude"": 11.74149, ""longitude"": 92.705475}, {""checkpoint"": 4, ""latitude"": 11.737324, ""longitude"": 92.693848}]",20.71,34,2,Police Motorcycle,In Progress
ROUTE000020,Andaman and Nicobar Islands,Zone_18,AI Predicted,Preventive Patrol,MEDIUM,34.48,86,2026-12-19,Night,2,11.718247,92.660685,11.774706,92.685908,8,"[{""checkpoint"": 1, ""latitude"": 11.718247, ""longitude"": 92.660685}, {""checkpoint"": 2, ""latitude"": 11.725245, ""longitude"": 92.66347}, {""checkpoint"": 3, ""latitude"": 11.726792, ""longitude"": 92.665359}, {""checkpoint"": 4, ""latitude"": 11.73973, ""longitude"": 92.676425}, {""checkpoint"": 5, ""latitude"": 11.749159, ""longitude"": 92.664024}, {""checkpoint"": 6, ""latitude"": 11.750587, ""longitude"": 92.665026}, {""checkpoint"": 7, ""latitude"": 11.760408, ""longitude"": 92.674564}, {""checkpoint"": 8, ""latitude"": 11.774706, ""longitude"": 92.685908}]",10.77,17,3,Police Car,Completed
ROUTE000021,Andaman and Nicobar Islands,Zone_23,Historical,Routine Patrol,MEDIUM,44.84,92,2026-08-27,Evening,18,11.732087,92.636192,11.725031,92.626652,5,"[{""checkpoint"": 1, ""latitude"": 11.732087, ""longitude"": 92.636192}, {""checkpoint"": 2, ""latitude"": 11.721807, ""longitude"": 92.632202}, {""checkpoint"": 3, ""latitude"": 11.727817, ""longitude"": 92.639298}, {""checkpoint"": 4, ""latitude"": 11.717057, ""longitude"": 92.63007}, {""checkpoint"": 5, ""latitude"": 11.725031, ""longitude"": 92.626652}]",10.2,19,4,Police Car,Cancelled
ROUTE000022,Andaman and Nicobar Islands,Zone_29,AI Predicted,High-Risk Patrol,HIGH,50.86,98,2027-04-21,Night,22,11.742323,92.673583,11.739716,92.657004,7,"[{""checkpoint"": 1, ""latitude"": 11.742323, ""longitude"": 92.673583}, {""checkpoint"": 2, ""latitude"": 11.74858, ""longitude"": 92.683143}, {""checkpoint"": 3, ""latitude"": 11.76175, ""longitude"": 92.668988}, {""checkpoint"": 4, ""latitude"": 11.748514, ""longitude"": 92.666317}, {""checkpoint"": 5, ""latitude"": 11.762397, ""longitude"": 92.667912}, {""checkpoint"": 6, ""latitude"": 11.74786, ""longitude"": 92.66288}, {""checkpoint"": 7, ""latitude"": 11.739716, ""longitude"": 92.657004}]",9.0,16,6,Police Jeep,Scheduled
ROUTE000023,Andaman and Nicobar Islands,Zone_8,AI Predicted,High-Risk Patrol,HIGH,50.68,97,2027-07-10,Evening,18,11.725802,92.64479,11.746614,92.610644,6,"[{""checkpoint"": 1, ""latitude"": 11.725802, ""longitude"": 92.64479}, {""checkpoint"": 2, ""latitude"": 11.734697, ""longitude"": 92.636588}, {""checkpoint"": 3, ""latitude"": 11.74358, ""longitude"": 92.637439}, {""checkpoint"": 4, ""latitude"": 11.750728, ""longitude"": 92.627647}, {""checkpoint"": 5, ""latitude"": 11.744546, ""longitude"": 92.615618}, {""checkpoint"": 6, ""latitude"": 11.746614, ""longitude"": 92.610644}]",8.06,16,5,Police Jeep,In Progress
ROUTE000024,Andaman and Nicobar Islands,Zone_36,AI Predicted,Routine Patrol,MEDIUM,44.13,92,2027-07-23,Morning,6,11.726736,92.688598,11.728538,92.668721,8,"[{""checkpoint"": 1, ""latitude"": 11.726736, ""longitude"": 92.688598}, {""checkpoint"": 2, ""latitude"": 11.730871, ""longitude"": 92.698735}, {""checkpoint"": 3, ""latitude"": 11.742764, ""longitude"": 92.695811}, {""checkpoint"": 4, ""latitude"": 11.729017, ""longitude"": 92.700971}, {""checkpoint"": 5, ""latitude"": 11.733815, ""longitude"": 92.688083}, {""checkpoint"": 6, ""latitude"": 11.722031, ""longitude"": 92.67759}, {""checkpoint"": 7, ""latitude"": 11.717096, ""longitude"": 92.674781}, {""checkpoint"": 8, ""latitude"": 11.728538, ""longitude"": 92.668721}]",9.57,17,3,Police Motorcycle,In Progress
ROUTE000025,Andaman and Nicobar Islands,Zone_30,Historical,Routine Patrol,MEDIUM,38.91,87,2027-05-28,Night,0,11.778143,92.644103,11.73487,92.651594,8,"[{""checkpoint"": 1, ""latitude"": 11.778143, ""longitude"": 92.644103}, {""checkpoint"": 2, ""latitude"": 11.771853, ""longitude"": 92.631941}, {""checkpoint"": 3, ""latitude"": 11.760871, ""longitude"": 92.635569}, {""checkpoint"": 4, ""latitude"": 11.758444, ""longitude"": 92.640106}, {""checkpoint"": 5, ""latitude"": 11.749068, ""longitude"": 92.63067}, {""checkpoint"": 6, ""latitude"": 11.739003, ""longitude"": 92.625882}, {""checkpoint"": 7, ""latitude"": 11.724518, ""longitude"": 92.638492}, {""checkpoint"": 8, ""latitude"": 11.73487, ""longitude"": 92.651594}]",22.41,52,2,Police Motorcycle,Completed
